28976701,,15,66,3,24,,,32,,3,2,,,,1,,,,,,,26
28046056,254,23,1,,,,75,,,,,,1,4,,1,5,,,,60,1
34156761,9,12,254,,,9,1,,,,,,,,4,,,,,,,1
34190052,33,97,254,1,7,,,,,,,,,3,,,5,,,,22,3
16049655,1,19,10,,254,,,67,,41,9,,,,,,,,,,,18
36840461,108,133,15,1,6,5,4,,,,,,12,18,3,1,29,,,,60,9
19492084,,6,,,166,,,,,,51,,,1,,,,,,,,5
9884911,127,40,44,3,1,9,14,5,,,,1,1,5,,,13,,,,37,2
31077591,,2,43,1,16,3,,31,,1,1,,,1,,,,,,,,6
41813147,1,24,19,,112,,,6,,3,1,,1,,2,,,,,,1,11
7425815,254,60,4,10,2,,109,,,,2,,2,4,,1,16,,2,,54,21
28789258,,7,,,11,,,,,,254,,,,,,,,,,,3
41741043,,2,,3,51,1,,1,,4,2,,,,,1,1,,,,,6
24533708,,3,,,67,,,1,,,,,,,,,,,,,,4
10965324,,,,,59,,,1,,,,,,,,,,,,,1,4
63829032,,13,44,2,10,,,4,,,,,,,,,,,,,1,9
28403348,47,25,6,1,,4,1,,,,,,1,4,1,,4,,,,9,1
28938309,254,7,,1,,3,26,,,,,,1,,,,,,,,12,1
30646196,,8,5,,201,,,5,,,5,,,,1,,2,,,,,11
23162459,,16,6,,52,,1,154,,254,1,,1,,,,,,,,,48
69944083,2,29,39,1,7,3,,,,,,,,,,,,,,,2,3
31153126,162,19,,,,,111,,,,,,1,,,,1,,,,46,9
65465753,9,32,19,,94,,,5,,14,20,,1,,,,2,,,,4,11
52544205,14,39,37,,79,2,,2,,,3,,2,,1,,,,,,4,13
10543774,254,25,2,1,,,68,,,,,,3,5,,,4,,,,66,1
41997442,254,49,108,,18,5,129,8,,2,3,,,,,,4,,,,91,17
43137732,90,133,85,4,127,,7,11,,3,22,1,1,15,2,3,9,,1,,23,16
38779257,129,36,19,9,,1,,,,,1,,4,31,3,,10,,3,,16,3
39813505,254,25,7,,,11,201,,,,,,5,1,3,,3,,1,,87,3
613,48,84,15,4,15,6,,1,,,,,28,4,2,1,62,,,,49,36
31127217,,7,188,,6,,,6,,,,,,,,,,,,,,7
40074676,16,67,18,6,169,,,22,,,5,,,1,,,5,,,,7,13
89555822,3,36,30,1,4,3,,1,,,,,,,1,,,,,,2,2
72003334,4,28,5,8,,4,,,,,,,3,,,9,2,,,,2,8
67655918,10,16,16,4,2,3,,1,,,,,1,2,,,23,,,,16,45
